utc_time,1min_bid_high,1min_ask_high,1min_bid_low,1min_ask_low,5min_bid_high,5min_ask_high,5min_bid_low,5min_ask_low
2022-04-26T07:00:00,14121.3,14122.7,14076.8,14078.2,14121.3,14122.7,14067.8,14069.2
2022-04-27T07:00:00,13773.2,13774.6,13740.7,13742.1,13789.7,13791.1,13735.2,13736.6
2022-04-28T07:00:00,13930.4,13931.8,13907.9,13909.3,13930.9,13932.3,13899.4,13900.8
2022-04-29T07:00:00,14102.3,14103.7,14082.8,14084.2,14113.3,14114.7,14069.8,14071.2
2022-05-02T07:00:00,13963.1,13964.5,13939.1,13940.5,13994.1,13995.5,13939.1,13940.5
2022-05-03T07:00:00,14009.9,14011.3,13980.4,13981.8,14009.9,14011.3,13944.9,13946.3
2022-05-04T07:00:00,14036.6,14038.0,14003.6,14005.0,14061.6,14063.0,14003.6,14005.0
2022-05-05T07:00:00,14302.3,14303.7,14275.3,14276.7,14314.8,14316.2,14271.8,14273.2
2022-05-06T07:00:00,13850.2,13851.6,13816.7,13818.1,13851.7,13853.1,13816.7,13818.1
2022-05-09T07:00:00,13609.5,13610.9,13578.3,13580.4,13628.5,13629.9,13578.3,13580.4
2022-05-10T07:00:00,13599.1,13600.5,13567.1,13568.5,13599.1,13600.5,13528.1,13529.5
2022-05-11T07:00:00,13607.1,13608.5,13591.6,13593.0,13607.1,13608.5,13571.1,13572.5
2022-05-12T07:00:00,13540.7,13542.1,13515.2,13516.6,13542.2,13543.6,13508.2,13509.6
2022-05-13T07:00:00,13840.4,13841.8,13811.4,13812.8,13840.4,13841.8,13795.9,13797.3
2022-05-16T07:00:00,13980.6,13982.0,13954.1,13955.5,14001.1,14002.5,13954.1,13955.5
2022-05-17T07:00:00,14086.7,14088.1,14058.7,14060.1,14098.7,14100.1,14058.7,14060.1
2022-05-18T07:00:00,14203.1,14204.5,14189.6,14191.0,14203.1,14204.5,14183.1,14184.5
2022-05-19T07:00:00,13852.5,13853.9,13804.0,13805.4,13852.5,13853.9,13804.0,13805.4
2022-05-20T07:00:00,13981.5,13982.9,13963.5,13964.9,13986.5,13987.9,13963.5,13964.9
2022-05-23T07:00:00,14213.1,14214.5,14190.6,14192.0,14213.1,14214.5,14159.1,14160.5
2022-05-24T07:00:00,14049.9,14051.3,14016.4,14017.8,14049.9,14051.3,14016.4,14017.8
2022-05-25T07:00:00,14043.6,14045.7,14024.1,14025.5,14043.6,14045.7,14008.1,14009.5
2022-05-26T07:00:00,14039.5,14040.9,14025.0,14026.4,14049.5,14050.9,14025.0,14026.4
2022-05-27T07:00:00,14299.8,14301.2,14281.3,14282.7,14304.8,14306.2,14281.3,14282.7
2022-05-30T07:00:00,14573.4,14574.8,14557.9,14559.3,14582.4,14583.8,14556.4,14557.8
2022-05-31T07:00:00,14516.7,14518.1,14496.2,14497.6,14517.7,14519.1,14492.7,14494.1
2022-06-01T07:00:00,14500.0,14501.4,14460.0,14461.4,14500.0,14501.4,14460.0,14461.4
2022-06-02T07:00:00,14400.3,14401.7,14384.3,14385.7,14405.3,14406.7,14384.3,14385.7
2022-06-03T07:00:00,14599.3,14600.7,14581.3,14582.7,14599.3,14600.7,14564.8,14566.2
