utc_time,1min_bid_high,1min_ask_high,1min_bid_low,1min_ask_low,5min_bid_high,5min_ask_high,5min_bid_low,5min_ask_low
2022-04-26T07:00:00,13521.5,13523.5,13499.1,13501.1,13521.5,13523.5,13491.4,13493.4
2022-04-27T07:00:00,13095.7,13097.7,13088.5,13090.5,13114.5,13116.5,13077.5,13079.5
2022-04-28T07:00:00,13244.8,13246.8,13231.9,13233.9,13244.8,13246.8,13218.8,13220.8
2022-04-29T07:00:00,13374.6,13376.6,13364.9,13366.9,13374.6,13376.6,13335.1,13337.1
2022-05-02T07:00:00,12965.6,12967.6,12953.4,12955.4,12977.4,12979.4,12940.6,12942.6
2022-05-03T07:00:00,13085.1,13087.1,13067.7,13069.7,13085.1,13087.1,13052.2,13054.2
2022-05-04T07:00:00,13133.3,13135.3,13123.6,13125.6,13133.3,13135.3,13116.7,13118.7
2022-05-05T07:00:00,13473.2,13475.2,13458.3,13460.3,13478.1,13480.1,13456.8,13458.8
2022-05-06T07:00:00,12832.7,12834.7,12820.2,12822.2,12832.7,12834.7,12804.5,12806.5
2022-05-09T07:00:00,12602.6,12604.6,12584.4,12586.4,12613.3,12615.3,12584.4,12586.4
2022-05-10T07:00:00,12400.0,12402.0,12384.5,12386.5,12400.0,12402.0,12376.6,12378.6
2022-05-11T07:00:00,12430.9,12432.9,12418.2,12420.2,12430.9,12432.9,12403.1,12405.1
2022-05-12T07:00:00,11914.1,11916.1,11894.1,11896.1,11914.1,11916.1,11864.2,11866.2
2022-05-13T07:00:00,12112.4,12114.4,12091.0,12093.0,12112.4,12114.4,12078.3,12080.3
2022-05-16T07:00:00,12290.2,12292.2,12274.8,12276.8,12296.3,12298.3,12274.8,12276.8
2022-05-17T07:00:00,12351.1,12353.1,12337.2,12339.2,12353.6,12355.6,12333.6,12335.6
2022-05-18T07:00:00,12505.6,12507.6,12499.6,12501.6,12505.6,12507.6,12492.3,12494.3
2022-05-19T07:00:00,11895.6,11897.6,11869.9,11871.9,11895.6,11897.6,11861.0,11863.0
2022-05-20T07:00:00,11982.3,11984.3,11969.4,11971.4,11982.3,11984.3,11969.0,11971.0
2022-05-23T07:00:00,12033.6,12035.6,12016.6,12018.6,12033.6,12035.6,11994.6,11996.6
2022-05-24T07:00:00,11787.8,11789.8,11774.2,11776.2,11797.8,11799.8,11774.2,11776.2
2022-05-25T07:00:00,11879.9,11881.9,11864.0,11866.0,11879.9,11881.9,11848.7,11850.7
2022-05-26T07:00:00,11889.7,11891.7,11876.7,11878.7,11895.1,11897.1,11876.7,11878.7
2022-05-27T07:00:00,12268.4,12270.4,12257.9,12259.9,12273.7,12275.7,12254.3,12256.3
2022-05-30T07:00:00,12849.9,12851.9,12843.4,12845.4,12861.5,12863.5,12841.6,12843.6
2022-05-31T07:00:00,12698.2,12700.2,12683.1,12685.1,12703.3,12705.3,12675.8,12677.8
2022-06-01T07:00:00,12676.0,12678.0,12653.2,12655.2,12676.0,12678.0,12650.5,12652.5
2022-06-02T07:00:00,12592.7,12594.7,12581.2,12583.2,12592.7,12594.7,12578.3,12580.3
2022-06-03T07:00:00,12884.6,12886.6,12872.9,12874.9,12884.6,12886.6,12855.2,12857.2
