utc_time,1min_bid_high,1min_ask_high,1min_bid_low,1min_ask_low,5min_bid_high,5min_ask_high,5min_bid_low,5min_ask_low
2022-04-26T07:00:00,7462.9,7463.9,7447.1,7448.1,7462.9,7463.9,7436.4,7437.4
2022-04-27T07:00:00,7402.8,7403.8,7388.5,7389.5,7402.8,7403.8,7387.5,7388.5
2022-04-28T07:00:00,7480.2,7481.2,7470.5,7471.5,7480.2,7481.2,7461.7,7462.7
2022-04-29T07:00:00,7560.9,7561.9,7547.6,7548.6,7560.9,7561.9,7537.1,7538.1
2022-05-02T07:00:00,7455.1,7459.1,7446.8,7450.8,7458.6,7462.6,7440.2,7444.2
2022-05-03T07:00:00,7505.3,7506.3,7491.1,7492.1,7505.3,7506.3,7477.1,7478.1
2022-05-04T07:00:00,7567.5,7568.5,7558.0,7559.0,7567.5,7568.5,7553.8,7554.8
2022-05-05T07:00:00,7621.1,7622.1,7593.9,7594.9,7621.1,7622.1,7593.9,7594.9
2022-05-06T07:00:00,7490.4,7491.4,7480.2,7481.2,7490.4,7491.4,7473.9,7474.9
2022-05-09T07:00:00,7374.0,7375.0,7365.0,7366.0,7378.3,7379.3,7365.0,7366.0
2022-05-10T07:00:00,7282.2,7283.2,7257.4,7258.4,7282.2,7283.2,7255.7,7256.7
2022-05-11T07:00:00,7294.5,7295.5,7281.8,7282.8,7294.5,7295.5,7278.0,7279.0
2022-05-12T07:00:00,7215.1,7216.1,7199.4,7200.4,7216.1,7217.1,7196.1,7197.1
2022-05-13T07:00:00,7293.6,7294.6,7282.3,7283.3,7293.6,7294.6,7282.3,7283.3
2022-05-16T07:00:00,7385.2,7386.2,7368.2,7369.2,7387.0,7388.0,7368.2,7369.2
2022-05-17T07:00:00,7489.7,7490.7,7475.2,7476.2,7490.2,7491.2,7472.7,7473.7
2022-05-18T07:00:00,7526.8,7527.8,7518.3,7519.3,7526.8,7527.8,7512.1,7513.1
2022-05-19T07:00:00,7384.3,7385.3,7368.8,7369.8,7387.3,7388.3,7368.8,7369.8
2022-05-20T07:00:00,7381.4,7382.4,7362.6,7363.6,7385.6,7386.6,7362.6,7363.6
2022-05-23T07:00:00,7464.8,7465.8,7456.8,7457.8,7464.8,7465.8,7443.1,7444.1
2022-05-24T07:00:00,7445.7,7446.7,7428.2,7429.2,7446.9,7447.9,7426.9,7427.9
2022-05-25T07:00:00,7540.5,7541.5,7526.0,7527.0,7540.5,7541.5,7514.8,7515.8
2022-05-26T07:00:00,7523.7,7524.7,7515.7,7516.7,7525.2,7526.2,7515.7,7516.7
2022-05-27T07:00:00,7570.6,7571.6,7556.3,7557.3,7572.3,7573.3,7556.3,7557.3
2022-05-30T07:00:00,7618.9,7619.9,7608.9,7609.9,7622.2,7623.2,7608.9,7609.9
2022-05-31T07:00:00,7612.9,7613.9,7598.9,7599.9,7622.4,7623.4,7598.9,7599.9
2022-06-01T07:00:00,7637.8,7638.8,7628.0,7629.0,7637.8,7638.8,7617.5,7618.5
2022-06-02T07:00:00,7557.0,7561.0,7551.7,7555.7,7561.5,7565.5,7551.7,7555.7
2022-06-03T07:00:00,7583.9,7587.9,7578.0,7582.0,7583.9,7587.9,7574.1,7578.1
